facility_id,layer,service_type,name,address,municipality,phone,email,hours,source,source_domain,source_url,source_method,needs_manual_review,needs_geocoding,catchment,latitude,longitude,geocode_status,geocode_provider,geocode_confidence,geocode_query,geocode_formatted_address,geocode_raw_type
official_pdf:ulsam:vila_nova_de_cerveira,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Vila Nova de Cerveira,Largo das Oliveiras 4920-275 Vila Nova de Cerveira,Vila Nova de Cerveira,251 795 287,,08:00H às 20:00H - Fins de Semana e Feriados,Official ULS PDF,www.ulsam.min-saude.pt,https://www.ulsam.min-saude.pt/wp-content/uploads/sites/10/2017/09/2024-08-12_Servi%C3%A7os-de-Atendimento-Complementar.pdf,Programmed parser for official ULS Alto Minho SAC PDF,False,False,Todas as freguesias do Concelho de Vila Nova de Cerveira,41.9449577,-8.7433347,geocoded,nominatim,0.040052186617837784,"Largo das Oliveiras 4920-275 Vila Nova de Cerveira, Vila Nova de Cerveira, Portugal","Largo das Oliveiras, Vila Nova de Cerveira e Lovelhe, Vila Nova de Cerveira, Viana do Castelo, 4920-275, Portugal",service
official_manual:www.ulsguarda.min-saude.pt:15014,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Almeida,Bairro da Trigueira 6350-209 Almeida,Almeida,271 574 108,csalmeida@ulsguarda.min-saude.pt,"2ª, 4ª, 6ª, sábado, domingo e feriados das 8 às 20h",Official ULS page,www.ulsguarda.min-saude.pt,https://www.ulsguarda.min-saude.pt/servicos/cuidados-de-saude-primarios/centro-de-saude-de-almeida/servico-de-atendimento-complementar-sac-de-almeida/,ULS Guarda WordPress API search and post-content parsing,False,False,,40.7254048,-6.905594199999999,geocoded,google_maps,APPROXIMATE,"Serviço de Atendimento Complementar (SAC) de Almeida, Bairro da Trigueira 6350-209 Almeida, Almeida, Portugal","6350 Almeida, Portugal",locality|political
official_manual:www.ulsguarda.min-saude.pt:15090,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Celorico da Beira,Avenida da Corredoura 6360-320 Celorico da Beira,Celorico da Beira,271 747 010,cscelbeira@ulsguarda.min-saude.pt,"3ª, 6ª, fins de semana e feriados das 8h às 20h",Official ULS page,www.ulsguarda.min-saude.pt,https://www.ulsguarda.min-saude.pt/servicos/cuidados-de-saude-primarios/centro-de-saude-de-celorico-da-beira/servico-de-atendimento-complementar-sac-de-celorico-da-beira/,ULS Guarda WordPress API search and post-content parsing,False,False,,40.6302734,-7.395878,geocoded,google_maps,GEOMETRIC_CENTER,"Serviço de Atendimento Complementar (SAC) de Celorico da Beira, Avenida da Corredoura 6360-320 Celorico da Beira, Celorico da Beira, Portugal","Av. da Corredoura, 6360 Celorico da Beira, Portugal",route
official_manual:www.ulsguarda.min-saude.pt:15118,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Fornos de Algodres,Av. 25 de Abril 6370-127 Fornos de Algodres,Fornos de Algodres,271 700 120,csfalgodres@ulsguarda.min-saude.pt,Fins de semana e feriados das 8h às 20h,Official ULS page,www.ulsguarda.min-saude.pt,https://www.ulsguarda.min-saude.pt/servicos/cuidados-de-saude-primarios/centro-de-saude-de-fornos-de-algodres/servico-de-atendimento-complementar-sac-de-fornos-de-algodres/,ULS Guarda WordPress API search and post-content parsing,False,False,,40.6298039,-7.5398852,geocoded,nominatim,0.053385182726787175,"Av. 25 de Abril 6370-127 Fornos de Algodres, Fornos de Algodres, Portugal","Avenida 25 de Abril, Infias, Fornos de Algodres, Guarda, 6370-321, Portugal",residential
official_manual:www.ulsguarda.min-saude.pt:15132,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Gouveia,Rua Dr. Mário Gomes Figueira 6290-370 Gouveia,Gouveia,238 490 400,csgouveia@ulsguarda.min-saude.pt,Dias úteis das 20h às 8h; Fins de semana e feriados 24h,Official ULS page,www.ulsguarda.min-saude.pt,https://www.ulsguarda.min-saude.pt/servicos/cuidados-de-saude-primarios/centro-de-saude-de-gouveia/servico-de-atendimento-permanente-sap-de-gouveia/,ULS Guarda WordPress API search and post-content parsing,False,False,,40.4935673,-7.6033481,geocoded,google_maps,GEOMETRIC_CENTER,"Serviço de Atendimento Complementar (SAC) de Gouveia, Rua Dr. Mário Gomes Figueira 6290-370 Gouveia, Gouveia, Portugal","R. Dr. Mário Gomes Figueira, 6290 Gouveia, Portugal",route
official_manual:www.ulsguarda.min-saude.pt:15199,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Manteigas,Rua Infante D. Henrique 6260-136 Manteigas,Manteigas,275 980 100,csmanteigas@ulsguarda.min-saude.pt,"2ª feira, 6ª feira, fins de semana e feriados 24h; 3ª, 4ª e 5ª feira das 20h às 8h",Official ULS page,www.ulsguarda.min-saude.pt,https://www.ulsguarda.min-saude.pt/servicos/cuidados-de-saude-primarios/centro-de-saude-de-manteigas/servico-de-atendimento-permanente-sap-de-manteigas/,ULS Guarda WordPress API search and post-content parsing,False,False,,40.4001924,-7.5386067,geocoded,nominatim,0.05338478141451129,"Rua Infante D. Henrique 6260-136 Manteigas, Manteigas, Portugal","Rua Infante Dom Henrique, Manteigas (São Pedro), Manteigas, Guarda, 6260-109, Portugal",residential
official_manual:www.ulsguarda.min-saude.pt:15217,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) da Mêda,Av. Gago Coutinho e Sacadura Cabral 6430-183 Mêda,Mêda,279 882 133,csmeda@ulsguarda.min-saude.pt,Todos os dias das 8h às 24h,Official ULS page,www.ulsguarda.min-saude.pt,https://www.ulsguarda.min-saude.pt/servicos/cuidados-de-saude-primarios/centro-de-saude-de-meda/servico-de-atendimento-complementar-sac-da-meda/,ULS Guarda WordPress API search and post-content parsing,False,False,,40.9657579,-7.2612112,geocoded,nominatim,0.05338497215228501,"Av. Gago Coutinho e Sacadura Cabral 6430-183 Mêda, Mêda, Portugal","Avenida Gago Coutinho e Sacadura Cabral, Mêda, Mêda, Outeiro de Gatos e Fonte Longa, Mêda, Guarda, 6430-211, Portugal",tertiary
official_manual:www.ulsguarda.min-saude.pt:15234,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Pinhel,"Avenida D. José I, nº4 6400-490 Pinhel",Pinhel,271 410 061,cspinhel@ulsguarda.min-saude.pt,Dias uteis das 20h às 8h; Fins de semana e feriados 24h,Official ULS page,www.ulsguarda.min-saude.pt,https://www.ulsguarda.min-saude.pt/servicos/cuidados-de-saude-primarios/centro-de-saude-de-pinhel/servico-de-atendimento-permanente-sap-de-pinhel/,ULS Guarda WordPress API search and post-content parsing,False,False,,40.7718809,-7.0675203,geocoded,nominatim,0.05338669336995495,"Avenida D. José I, nº4 6400-490 Pinhel, Pinhel, Portugal","Avenida Dom José I, Pinhel, Guarda, 6400-398, Portugal",tertiary
official_manual:www.ulsguarda.min-saude.pt:15253,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) do Sabugal,"Rua Alexandre Herculano, s/n 6320-354 Sabugal",Sabugal,271 753 002,cssabugal@ulsguarda.min-saude.pt,Dias úteis das 20h às 8h; Fim de semana e feriados 24h,Official ULS page,www.ulsguarda.min-saude.pt,https://www.ulsguarda.min-saude.pt/servicos/cuidados-de-saude-primarios/centro-de-saude-de-sabugal/servico-de-atendimento-permanente-sap-do-sabugal/,ULS Guarda WordPress API search and post-content parsing,False,False,,40.3512979,-7.0795877,geocoded,nominatim,0.05338743495841913,"Rua Alexandre Herculano, s/n 6320-354 Sabugal, Sabugal, Portugal","Rua Alexandre Herculano, Sabugal, Sabugal e Aldeia de Santo António, Sabugal, Guarda, 6320-349, Portugal",residential
official_manual:www.ulsguarda.min-saude.pt:15301,permanent_care,SAC,Serviço de Atendimento Complementar (SAC) de Trancoso,Avenida Calouste Gulbenkian 6420-033 Trancoso,Trancoso,271 829 070,cstrancoso@ulsguarda.min-saude.pt,"2ª a 5ª feira 20h às 8h; 6ª f, sábados, domingos e feriados 24h",Official ULS page,www.ulsguarda.min-saude.pt,https://www.ulsguarda.min-saude.pt/servicos/cuidados-de-saude-primarios/centro-de-saude-de-trancoso/servico-de-atendimento-permanente-sap-de-trancoso/,ULS Guarda WordPress API search and post-content parsing,False,False,,40.777574,-7.3531991,geocoded,nominatim,0.05338707331960018,"Avenida Calouste Gulbenkian 6420-033 Trancoso, Trancoso, Portugal","Avenida Calouste Gulbenkian, Trancoso (São Pedro e Santa Maria) e Souto Maior, Trancoso, Guarda, 6420-039, Portugal",residential
official_manual:www.ulsguarda.min-saude.pt:15103,permanent_care,SAP,Serviço de Atendimento Permanente (SAP) de Figueira de Castelo Rodrigo,"Av. Dr. Francisco Sá Carneiro, 72 6440-102 Figueira de Castelo Rodrigo",Figueira de Castelo Rodrigo,271 312 277,csfcrodrigo@ulsguarda.min-saude.pt,Todos os dias 24h,Official ULS page,www.ulsguarda.min-saude.pt,https://www.ulsguarda.min-saude.pt/servicos/cuidados-de-saude-primarios/centro-de-saude-de-figueira-de-castelo-rodrigo/servico-de-atendimento-permanente-sap-de-figueira-de-castelo-rodrigo/,ULS Guarda WordPress API search and post-content parsing,False,False,,40.8919742,-6.9645387,geocoded,nominatim,0.05338550774395358,"Av. Dr. Francisco Sá Carneiro, 72 6440-102 Figueira de Castelo Rodrigo, Figueira de Castelo Rodrigo, Portugal","Avenida Doutor Francisco Sá Carneiro, Figueira de Castelo Rodrigo, Guarda, 6440-111, Portugal",residential
