Notes,MRI,Health Insurance facility code,Contracted with VSS? (1=yes; 2=no),Official decision to set up facility,Technical class ,Facility level (Trung ương=central; tỉnh=provincial; huyện=district),Facility name-VN,Name_English,Facility type-VN,Type_name,hospital or other type of facility Hospital=1,1=general; 2=specialist,Chuyên khoa (specialty),Ngành (sector if not under MOH),Tên doanh nghiệp (company name if private hospital),"Tuyenkythuat_Facility_level 
(1: National; 2: Provincial; 3: District; 4: Commune,5: sectoral (if not clear under Bộ or Sở), 6: regional polyclinic,7:Training establishment hospital)",Sectoral (1:health sector; 2:other sector;3:private sector),Public_private (1:public; 2: private; 3: enterprise),"main_secondary_location (1: main facility; 2: secondary facility=co so 2, 3...)",Province_GSO_id,pro_name_v,pro_name_e,District_GSO_id,dis_name_v,dis_name_e,Island district,com_name_v,com_name_e,address,longitude,latitude,phone,fax,hyperlink,email,Date_updated,collector,subtype,level,economic_t,level_id,date_colle,HI_ID,OWNER,NAME,RANGE,HOS_LEVEL,TYPE,Name_HI,District_H,Range_HI,HOS_Level_,Address_HI,NOTE,F_VG,OBJECTID_1
,,79026,1,01/2018/QĐ-UBND,1,tỉnh,Bệnh viện Trưng Vương (Tiền thân là Bệnh viện Cấp Cứu Trưng Vương),Trung Vuong Hospital (formerly the Trung Vuong Emergency care Hospital),bệnh viện đa khoa tỉnh,provincial general hospital,1,1,,,,2,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,771,Quận 10,District 10,,Phường 14,Ward 14,"266 Lý Thường Kiệt, Lý Thường Kiệt, Phường 14, Quận 10, Hồ Chí Minh",106.658549,10.770113,(028) 3864 2750,,,,,vietgis,ST32,L3,E1,3,30.12.2015,79026,,,,,,,0,0,0,,,0,1266
,1,79441,1,,chưa,tỉnh,Bệnh viện Ngoại Thần kinh Quoc tế,International Neurosurgery Hospital,bệnh viện chuyên khoa tư nhân,private specialized hospital ,1,2,"NGOAI, THANKINH",,,,3,2,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,767,Quận Tân Phú,Tan Phu District,,Phường Tân Thới Hòa,Tan Thoi Hoa Ward,"65A Lũy Bán Bích, Lũy Bán Bích, Phường Tân Thới Hoa, Quận Tân Phu, Hồ Chí Minh",106.632188,10.761239,(028) 3961 6977,(028) 3961 6978,http://www.bvngoaithankinhqt.org.vn/,,,vietgis,ST22,L2,E1,2,30.12.2015,,,,,,,,0,0,0,,,0,1253
,1,79034,1,,1,Trung ương,Bệnh viện 175 (Trung ương Quân đội),175 Hospital (Central Army Hospital),bệnh viện đa khoa ngành,Sectoral general hospital ,1,1,,QUOCPHONG,,5,2,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,764,Quận Gò Vấp,Go Vap District,,Phường 3,Ward 3,"778 Nguyen Kiệm, Nguyen Kiệm, Phường 3, Quận Gò Vấp, Hồ Chí Minh",106.680200,10.819180,096 983 10 10,,http://www.benhvien175.vn/,contact@benhvien175.vn,,vietgis,ST52,L2,E1,2,30.12.2015,79034,CỤC QL KHÁM CHỮA BỆNH,BỆNH VIỆN TRUNG ƯƠNG QUÂN ĐỘI 175,,,,Benh vien 175,16,1,1,"786 Nguyen Kiệm, Phường 3, Quận Gò Vấp, Thanh pho Hồ Chí Minh",BV,0,1315
,1,79505,1,,chưa,tỉnh,Bệnh viện Quốc tế City (Tiên thần là BV QT Thành Đô),City International Hospital (CIH),bệnh viện đa khoa tư nhân,Private general hospital,1,1,,,,,3,2,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,777,Quận Bình Tân,Binh Tan District,,Phường Bình Trị Đông,Binh Tri Dong Ward,"Số 3, Đường 17A, P.Bình Trị Đông B, Q. Bình Tân, TP. Hồ Chí Minh",106.609518,10.741662,(028) 6280 3333,,https://cih.com.vn,,,,,,,,,,,,,,,,,,,,,,
,1,79616,1,,chưa,huyện,Bệnh viện Gia An 115 (PPP - BV Nhân Dân 115),Gia An 115 Hospital  (PPP with BV Nhan Dan 115),PPP,PPP,1,1,,,,,,2,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,777,Quận Bình Tân,Binh Tan District,,Phường Bình Trị Đông B,Binh Tri Dong B Ward,"Số 05, Đường 17A, Khu phố 11, P. Bình Trị Đông B, Q. Bình Tân, TP. HCM",106.607766,10.740592,(028) 6288 5886,,http://www.giaan115.com/,,,,,,,,,,,,,,,,,,,,,,
,1,79488,1,,3,huyện,Bệnh viện đa khoa Xuyên Á (BVXA) TPHCM,Xuyen A General Hospital (BVXA-HCMC),bệnh viện đa khoa tư nhân,Private general hospital,1,1,,,Công Ty Cổ Phần Đầu Tư Bệnh Viện Xuyên Á,,3,2,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,783,Huyện Củ Chi,Cu Chi District,,Xã Tân Phú Trung,Tan Phu Trung,"42, Quốc lộ 22, Ấp Chợ, Xã Tân Phú Trung,Huyện Củ Chi, TP. HCM",106.558002,10.927439,(028) 3796 6115,,http://bvxuyena.com.vn/,,,vietgis,ST32,L3,E1,3,30.12.2015,79488,TP HỒ CHÍ MINH,BV Da KHOA XUYÊN Á,Ngoài cong lập,Chưa phân hạng,Benh vien đa khoa,Benh vien đa khoa XuYen á,20,2,2,"Khu phố 2, Thi tran Củ Chi, Huyen Củ Chi, Thanh pho Hồ Chí Minh",BV,0,1329
,1,79048,1,246/QD-TTG-2014,Đặc biệt,trung ương,Bệnh viện Chợ Rẫy,Cho Ray Hospital,bệnh viện đa khoa trung ương,Central general hospital,1,1,,,,1,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,774,Quận 5,District 5,,Phường 12,Ward 12,"201B Nguyen Chí Thanh, Quận 5, TP.HCM",106.659212,10.756695,(028) 3855 4137,(028) 3855 7267,http://choray.vn/,bvchoray@hcm.vnn.vn,,vietgis,ST12,L1,E1,1,30.12.2015,79048,CỤC QL KHÁM CHỮA BỆNH,BỆNH VIỆN CHỢ RẪY,Bộ Y tế,Hạng đặc biệt,Benh vien đa khoa,Benh vien Chợ Rẫy,5,1,0,"201 B Nguyen Chí Thanh, Phường 12, Quận 5, Thanh pho Hồ Chí Minh",BV,0,1032
,1,79036,1,01/2018/QĐ-UBND,2,huyện,Bệnh viện Đa khoa Khu vực Thủ Đức,Thu Duc Regional General Hospital,bệnh viện đa khoa khu vực,regional general hospital,1,1,,,,6,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,762,Quận Thủ Đức,Thu Duc District,,Phường Linh Trung,Linh Trung Ward,"64 Le Văn Chí, Le Văn Chí, Phường Linh Trung, Quận Thủ Đức, Hồ Chí Minh",106.780870,10.862048,(028) 3722 2522,,http://www.benhvienkhuvucthuduc.vn/,bv.dkkvtd@tphcm.gov.vn,,vietgis,ST32,L3,E1,3,30.12.2015,79036,TP HỒ CHÍ MINH,BỆNH VIỆN ĐK KHU VỰC THỦ ĐỨC,Tinh/Thanh pho,Hạng II,Benh vien đa khoa,Benh vien khu vuc Thủ Đức,3,2,2,"64 Le Văn Chí, KP1, Linh Trung, Quận Thủ Đức, Thanh pho Hồ Chí Minh",BV,0,1320
,,79001,1,01/2018/QĐ-UBND,2,tỉnh,Bệnh viện đa khoa Sài Gòn,Saigon General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1,1,,,,2,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,760,Quận 1,District 1,,Phường Bến Thành,Ben Thanh Ward,"125 Le Lợi, Le Lợi, Phường Bến Thành, Quận 1, Hồ Chí Minh",106.699366,10.772217,(028) 3821 6589,,,,,vietgis,ST32,L3,E1,3,30.12.2015,79001,TP HỒ CHÍ MINH,BỆNH VIỆN ĐK SÀI GÒN,Tinh/Thanh pho,Hạng II,Benh vien đa khoa,Benh vien đa khoa Sài Gòn,1,2,2,"125 Le Lợi, Phường Bến Thành , Quận 1, Thanh pho Hồ Chí Minh",BV,0,1046
,,79014,1,01/2018/QĐ-UBND,1,tỉnh,Bệnh viện Nguyễn Trãi,Nguyen Trai Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1,1,,,,2,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,774,Quận 5,District 5,,Phường 8,Ward 8,"314 Nguyen Trãi, Nguyen Trãi, Phường 8, Quận 5, Hồ Chí Minh",106.674851,10.756461,(028) 3923 5926,,,,,vietgis,ST32,L3,E1,3,30.12.2015,79014,TP HỒ CHÍ MINH,BỆNH VIỆN NGUYỄN TRÃI,Tinh/Thanh pho,Hạng I,Benh vien đa khoa,Benh vien Nguyen Trãi,15,2,1,"314 Nguyen Trãi, Phường 8, Quận 5, Thanh pho Hồ Chí Minh",BV,0,1031
,1,79525,1,,2,tỉnh,Bệnh viện đa khoa quốc tế Vinmec (CS Central Park),Vinmec International General Hospital-Central Park,bệnh viện đa khoa tư nhân,Private general hospital,1,1,,,Vingroup,,3,2,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,765,Quận Bình Thạnh,Binh Thanh District,,Phường 22,Ward 22,"208 Nguyễn Hữu Cảnh, Phường 22, Q. Bình Thạnh Hồ Chí Minh",106.720240,10.794776,(028) 3622 1166,,https://www.vinmec.com/vi,,,,,,,,,,,,,,,,,,,,,,
,1,79058,1,,chưa,tỉnh,Bệnh viện Triều An,Trieu An Hospital,bệnh viện đa khoa tư nhân,Private general hospital,1,1,,,,,3,2,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,777,Quận Bình Tân,Binh Tan District,,Phường An Lạc,An Lac Ward," 425 Kinh Dương Vương, Phường An Lạc, Quận Bình Tân, Tp.Hồ Chí Minh",106.616865,10.739725,(028) 3750 9999,,http://www.trieuanhospital.vn/vn/,,,vietgis,ST32,L3,E1,3,30.12.2015,79058,TP HỒ CHÍ MINH,BỆNH VIỆN TRIỀU AN,Ngoài cong lập,Chưa phân hạng,Benh vien đa khoa,Benh vien đa khoa Tu nhan Triều An,18,2,2,"425 Kinh D uong V uong, Phường An Lạc, Q. Binh Tân, , Thanh pho Hồ Chí Minh",BV,0,1016
,,79041,1, 5524/QĐ-UBND (2008),2,tỉnh,Bệnh viện đa khoa khu vực Hóc Môn,Hoc Mon Regional General Hospital,bệnh viện đa khoa khu vực,regional general hospital,1,1,,,,2,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,784,Huyện Hóc Môn,Hoc Mon,,Thị trấn Hóc Môn,Hoc Mon Town,"65/2B Bà Triệu, Bà Triệu, Thi tran Hóc Môn, Huyen Hóc Môn, Hồ Chí Minh",106.5933679,10.88260871,967811010,,,,,vietgis,ST32,L3,E1,3,30.12.2015,79041,TP HỒ CHÍ MINH,BỆNH VIỆN ĐK KV HÓC MÔN,Tinh/Thanh pho,Hạng II,Benh vien đa khoa,Benh vien đa khoa khu vuc Hóc Môn,21,2,2,"62/2B Bà Triệu, Huyen Hóc Môn, Thanh pho Hồ Chí Minh",BV,0,1324
by Q2 2019 sap nhap,,79033,1,509/QD-UBND (2019),3,huyện,Trung tâm Y tế Quận Tân Bình (CS1-BV),Tan Binh District Health Center (CS1-Hospital),trung tâm y tế huyện,district health center,1,1,,,,3,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,766,Quận Tân Bình,Tan Binh District,,Phường 7,Ward 7,"605 Hoàng Văn Thụ, Phường 4, Hồ Chí Minh",106.655337,10.794487,(028) 3844 9928,(028) 3948 5348,http://bvtb.org.vn/,,,vietgis,ST32,L3,E1,3,30.12.2015,79033,TP HỒ CHÍ MINH,BỆNH VIỆN ĐK QUẬN TÂN BÌNH,Quan/Huyen,Hạng III,Benh vien đa khoa,Benh vien Quận Tân Binh,7,3,3,"605 Hoang Văn Thụ, Phường 4, Quận Tân Binh, Thanh pho Hồ Chí Minh",BV,0,1062
by Q2 2019 sap nhap,,79051,1,509/QD-UBND (2019),3,huyện,Trung tâm y tế Quận 1 (CS1-BV),District 1 Health Center (CS1-hospital),trung tâm y tế huyện,district health center,1,1,,,,3,1,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,760,Quận 1,District 1,,Phường Tân Định,Tan Dinh Ward,"338 Hai Bà Trưng, Hai Bà Trưng, Phường Tân Định, Quận 1, Hồ Chí Minh",106.689479,10.789950,(028) 3820 6746,(028) 3820 5141,http://bvq1.vn/,info@bvq1.vn,,vietgis,ST32,L3,E1,3,30.12.2015,79051,TP HỒ CHÍ MINH,BỆNH VIỆN QUẬN 1,Quan/Huyen,Hạng III,Benh vien đa khoa,Benh vien Quận 1 -  Cơ So 1,1,3,3,"338 Hai Bà Trưng, P. Tân Định, Quận 1, Thanh pho Hồ Chí Minh",BV,0,1066
,,79439,1,,chưa,tỉnh,Bệnh viện Tim Tâm Đức,Tam Duc Heart Hospital,bệnh viện chuyên khoa tư nhân,private specialized hospital ,1,2,TIM,,Công ty cổ phần Bệnh viện Tim Tâm Ðức,,3,2,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,778,Quận 7,District 7,,Phường Tân Phú,Tan Phu Ward,"4 Nguyễn Lương Bằng, phường Tân Phú, quận 7, TP.Hồ Chí Minh",106.717855,10.733657,(028) 5411 0025,,,,,vietgis,ST32,L3,E1,2,30.12.2015,79439,TP HỒ CHÍ MINH,TIM TÂM ĐỨC - TP.HCM,Ngoài cong lập,Chưa phân hạng,Benh vien chuYen khoa,Benh vien Tim Tâm Đức,19,2,2,"04 Nguyen L uong Bằng, Phường Tân Phu, Quận 7, Thanh pho Hồ Chí Minh",BV,0,1015
,,79016,1,,1,,Bệnh viện 7A - Quân khu 7,Hospital 7A - Quân khu 7,bệnh viện đa khoa ngành,Sectoral general hospital ,1,1,,QUOCPHONG,,5,2,1,1,79,Thành phố Hồ Chí Minh,Ho Chi Minh City,774,Quận 5,District 5,,Phường 8,Ward 8,"466 Nguyen Trãi, Nguyen Trãi, Phường 8, Quận 5, Hồ Chí Minh",106.671018,10.754969,(028) 3923 7801,,,,,vietgis,ST52,L3,E1,2,30.12.2015,79016,,,,,,,0,0,0,,,0,1242
,1,01929,1,246/QD-TTg-2014,Đặc biệt,trung ương,Bệnh viện Bạch Mai (CS1),Bach Mai Hospital,bệnh viện đa khoa trung ương,Central general hospital,1,1,,,,1,1,1,1,1,Hà Nội,Ha Noi,6,Quận Đống Đa,Dong Da District,,Phường Phường Mai,Phuong Mai Ward,"78 Đường Giải Phóng, Phuong Mai, Đống Da, Hà Nội",105.840989,21.002426,(024) 3868 6074,(024) 3869 1607,http://bachmai.gov.vn/,,,vietgis,ST12,L1,E1,1,30.12.2015,1929,CỤC QL KHÁM CHỮA BỆNH,BỆNH VIỆN BẠCH MAI,Bộ Y tế,Hạng đặc biệt,Benh vien đa khoa,Benh vien Bach Mai,0,1,0,"78 Đường Giải Phóng, Đống Da",BV,0,360
,1,01016,1,,1,trung ương,Bệnh viện Quận y 103,103 Military Hospital,bệnh viện đa khoa ngành,Sectoral general hospital ,1,1,,QUOCPHONG,,5,2,1,1,1,Hà Nội,Ha Noi,268,Quận Hà Đông,Ha Dong District,,Phường Phúc La,Phuc La Ward,"261 Phùng Hưng, Ha Dong, Hà Nội",105.790110,20.966875,(024) 3356 6713,(024) 3356 6713,http://www.benhvien103.vn/,,,vietgis,ST12,L1,E1,1,30.12.2015,1016,,,,,,,0,0,0,,,0,586
,1,01003,1,37-2016-QD-UBND,1,tỉnh,Bệnh viện đa khoa Xanh Pôn,Saint Paul Municipal General Hospital,bệnh viện đa khoa tỉnh,provincial general hospital,1,1,,,,2,1,1,1,1,Hà Nội,Ha Noi,1,Quận Ba Đình,Ba Dinh District,,Phường Điện Biên,Dien Bien Ward,"12 Chu Văn An, Phường Điện Biên, Quận Ba Đình, Hà Nội",105.835586,21.031610,967711616,(024) 3823 3066,,,,vietgis,ST22,L2,E1,2,30.12.2015,1003,HÀ NỘI,BỆNH VIỆN ĐK XANH PÔN,Tinh/Thanh pho,Hạng I,Benh vien đa khoa,Benh vien đa khoa Xanh Pôn,0,2,1,"12 Chu Văn An, Ba Đình",BV,0,392
,1,01006,1,37-2016-QD-UBND,2,tỉnh,Bệnh viện Thanh Nhàn Hà Nội (Tiền thân là BV Đa khoa Hai Bà Trưng),Hanoi Thanh Nhan Municipal Hospital (formerly Hai Ba Trung Hospital),bệnh viện đa khoa tỉnh,provincial general hospital,1,1,,,,2,1,1,1,1,Hà Nội,Ha Noi,7,Quận Hai Bà Trưng,Hai Ba Trung District,,Phường Thanh Nhan,Thanh Nhan Ward,"42 Thanh Nhan, Thanh Nhan, Phường Thanh Nhan, Quận Hai Bà Trưng, Hà Nội",105.858862,21.002896,(024) 3971 4373,(024) 3971 5114,,,,vietgis,ST22,L2,E1,2,30.12.2015,1006,HÀ NỘI,BỆNH VIỆN THANH NHÀN,Tinh/Thanh pho,Hạng I,Benh vien đa khoa,Benh vien Thanh Nhan,0,2,1,"42 Thanh Nhan, Hai Bà Trưng",BV,0,362
,1,01014,1,,Hạng đặc biệt,trung ương,Bệnh viện Trung ương Quân đội 108,108 Military Central Hospital,bệnh viện đa khoa ngành,Sectoral general hospital ,1,1,,QUOCPHONG,,5,2,1,1,1,Hà Nội,Ha Noi,7,Quận Hai Bà Trưng,Hai Ba Trung District,,Phường Bach Dang,Bach Dang Ward,"Số 1 Trần Hưng Đạo, Hai Bà Trưng, Hà Nội",105.861225,21.017242,69572400,069 555283,http://benhvien108.vn/,bvtuqd108@benhvien108.vn,,vietgis,ST12,L1,E1,1,30.12.2015,1014,,,,,,,0,0,0,,,0,622
,1,01819,1,,1,trung ương,Bệnh viện Quận y 105,105 Military Hospital,bệnh viện đa khoa ngành,Sectoral general hospital ,1,1,,QUOCPHONG,,5,2,1,1,1,Hà Nội,Ha Noi,269,Thị xã Sơn Tây,Son Tay Town,,Phường Sơn Lộc,Son Loc Ward,"Chùa Thông, Quoc lộ 21, Phường Sơn Lộc, Thị xã Sơn Tây, Hà Nội",105.496405,21.116913,(024) 3250 5046 ,,http://benhvienquany105.vn/,,,vietgis,ST52,L2,E1,2,30.12.2015,1819,,,,,,,0,0,0,,,0,680
