facility_id,layer,name,latitude,longitude,address,city,postcode,source,source_detail,collaboration,osm_type,osm_id,amenity,healthcare,healthcare_speciality,operator,phone,website,rd_x,rd_y
osm:node:13013575511,general_practitioner,,51.9364575,4.4635194,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,13013575511,doctors,doctor,podiatry,,,,,
osm:node:13038231717,general_practitioner,,52.5730313,4.6983654,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,13038231717,doctors,doctor,general,,,https://www.gclimmen.nl/zorgverleners/huisartsen,,
osm:way:30407594,general_practitioner,,52.0311721,4.3119228,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,30407594,doctors,doctor,,,,,,
osm:way:48790234,general_practitioner,,53.367513,5.9034231,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,48790234,doctors,doctor,,,,,,
osm:way:261821030,general_practitioner,,52.165854,5.4078675,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,261821030,,doctor,,,,,,
osm:way:272028200,general_practitioner,,52.9923206,6.560681,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,272028200,doctors,doctor,,,,,,
osm:way:273173424,general_practitioner,,51.916684,4.3490244,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,273173424,doctors,doctor,surgery,,,,,
osm:way:274357674,general_practitioner,,51.5907505,5.3234512,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,274357674,doctors,,,,,,,
osm:way:275065297,general_practitioner,,51.654258,5.476227,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,275065297,doctors,doctor,,,,,,
osm:way:279558378,general_practitioner,,52.568241,5.6392405,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,279558378,doctors,doctor,,,,,,
osm:way:281278459,general_practitioner,,52.2255818,4.670558,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,281278459,,doctor,,,,,,
osm:way:281914034,general_practitioner,,52.1836154,4.4745629,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,281914034,doctors,doctor,,,,,,
osm:way:296818153,general_practitioner,,51.6435058,5.6241758,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,296818153,doctors,doctor,,,,,,
osm:way:375578241,general_practitioner,,12.1227869,-68.8692415,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,375578241,doctors,doctor,,,,,,
osm:way:438032668,general_practitioner,,52.5599826,4.7352701,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,438032668,doctors,doctor,general,,,,,
osm:way:639938935,general_practitioner,,12.4332761,-69.9075196,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,639938935,doctors,doctor,,,,,,
osm:way:640486115,general_practitioner,,12.5072295,-69.9816996,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,640486115,doctors,doctor,,,,,,
osm:way:640833183,general_practitioner,,12.5236561,-70.0282194,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,640833183,doctors,doctor,,,,,,
osm:way:888018224,general_practitioner,,12.1220996,-68.8705616,Kaminda Rignald S. Recordino,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,888018224,doctors,doctor,,,,,,
osm:way:1185459052,general_practitioner,,52.3072238,6.9312059,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,1185459052,doctors,,,,,,,
osm:node:3102714770,general_practitioner,,51.7774036,4.6140012,"Hendrik Hamerstraat 89, 3295CG, 's-Gravendeel",'s-Gravendeel,3295CG,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,3102714770,doctors,doctor,,,,,,
osm:node:2732184978,general_practitioner,,52.0471324,4.2687816,"Dedemsvaartweg 402, 2545AN, 's-Gravenhage",'s-Gravenhage,2545AN,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2732184978,doctors,doctor,dentist,,+31 70 3599995,https://detandprotheek.nl/praktijk/de-tandprotheek-den-haag/,,
osm:node:4769109497,general_practitioner,,52.3557059,5.1537547,"Trojestraat 62, 1363VL, Almere",Almere,1363VL,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,4769109497,doctors,,,,,,,
osm:node:2683046220,general_practitioner,,52.1461076,5.3767219,"Vondelplein 4B, 3818BC, Amersfoort",Amersfoort,3818BC,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2683046220,doctors,,,,+31 33 254 2653,https://www.vondelplein.nl,,
osm:node:2801373403,general_practitioner,,51.949663,5.2061598,"Koopmansgildeplein 2, 4105TX, Culemborg",Culemborg,4105TX,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2801373403,doctors,doctor,general,,,,,
osm:node:2804223860,general_practitioner,,52.6511648,6.6204892,"Hoofdweg 44, 7782PN, De Krim",De Krim,7782PN,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2804223860,doctors,,,,,,,
osm:node:2596747407,general_practitioner,,52.0131063,4.3667436,"Oostsingel 51, 2612HD, Delft",Delft,2612HD,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2596747407,doctors,doctor,,,,,,
osm:node:2812665864,general_practitioner,,51.8659064,6.4841398,"Nieuwstraat 2A, 7091DG, Dinxperlo",Dinxperlo,7091DG,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2812665864,doctors,doctor,,,,,,
osm:node:5082392611,general_practitioner,,52.0026279,4.681076,"Burgemeester van Dijkesingel 49, 2809RB, Gouda",Gouda,2809RB,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,5082392611,doctors,doctor,paediatrics,,,,,
osm:node:1540923023,general_practitioner,,52.3783925,4.6362068,"Kleine Houtstraat 52, 2011DP, Haarlem",Haarlem,2011DP,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,1540923023,doctors,alternative,acupuncture,,,,,
osm:node:2866399597,general_practitioner,,50.8745495,6.0656108,"van Gronsveldstraat 4, 6463CC, Kerkrade",Kerkrade,6463CC,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2866399597,doctors,,,,,,,
osm:node:2798617728,general_practitioner,,53.2808119,6.149475,"Maartensplein 1A, 9291BZ, Kollum",Kollum,9291BZ,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2798617728,doctors,doctor,,,,,,
osm:way:366768471,general_practitioner,,12.1537054,-68.2758788,"Kaya J E Nicolaas, Kralendijk",Kralendijk,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,366768471,doctors,doctor,,,,,,
osm:way:724480976,general_practitioner,,12.1596002,-68.9505742,"Jan Noorduynweg, Mahuma",Mahuma,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,724480976,doctors,doctor,general,,,,,
osm:node:2901727382,general_practitioner,,51.1565413,6.0090884,"Dorpsstraat 14, 6074GC, Melick",Melick,6074GC,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2901727382,doctors,doctor,,,+31 475 532 606,,,
osm:node:2728617545,general_practitioner,,51.885829,4.6721302,"Marslaan 167, 2957SG, Nieuw-Lekkerland",Nieuw-Lekkerland,2957SG,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2728617545,doctors,doctor,general,,,https://huisartsenkinderdijk.nl/,,
osm:node:11824505701,general_practitioner,,51.8096629,5.8078877,"Malvert 5133, 6538DG, Nijmegen",Nijmegen,6538DG,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,11824505701,doctors,doctor,general,,,,,
osm:node:2823118775,general_practitioner,,50.918401,5.8837914,"Adam van Nutta-hof 45, 6361BK, Nuth",Nuth,6361BK,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2823118775,doctors,doctor,,,,,,
osm:node:5003716248,general_practitioner,,53.1382018,6.4139233,"Woldzoom 2E, 9301RA, Roden",Roden,9301RA,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,5003716248,doctors,doctor,,,,,,
osm:node:2791447697,general_practitioner,,51.8934092,4.5364127,"Sportsingel 11, 3078XS, Rotterdam",Rotterdam,3078XS,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2791447697,doctors,,,,,https://gcsportdorp.nl/huisarts/,,
osm:node:10785309681,general_practitioner,,12.1043874,-68.9019577,Saliña Harbour View,Saliña Harbour View,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,10785309681,doctors,doctor,general,,,,,
osm:node:814923826,general_practitioner,,53.0322511,5.6651796,"Bothniakade 20, Sneek",Sneek,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,814923826,doctors,doctor,,,,,,
osm:node:2811294910,general_practitioner,,51.6110064,4.5142941,"Markt 13, 4758BL, Standdaarbuiten",Standdaarbuiten,4758BL,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2811294910,doctors,,,,,,,
osm:node:2911010717,general_practitioner,,52.8800239,5.3628514,"Schans 60, 8715JS, Stavoren",Stavoren,8715JS,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2911010717,doctors,,,,,,,
osm:node:2757015535,general_practitioner,,51.3346684,3.8558448,"Pattistpark 124, 4532HZ, Terneuzen",Terneuzen,4532HZ,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2757015535,doctors,doctor,general,,+31 115 741 020,https://www.huisartswarringa.nl/,,
osm:node:2685245950,general_practitioner,,52.1859621,5.9377919,"Ugchelseweg 88, 7339CL, Ugchelen",Ugchelen,7339CL,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2685245950,doctors,,,,,,,
osm:way:368796173,general_practitioner,,12.1091902,-68.942055,"J. H. J. Hamelbergweg, Willemstad",Willemstad,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,368796173,doctors,doctor,,,,,,
osm:way:368796175,general_practitioner,,12.109392,-68.9420253,"J. H. J. Hamelbergweg, Willemstad",Willemstad,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,368796175,doctors,doctor,,,,,,
osm:way:370273777,general_practitioner,,12.1096078,-68.9440237,"Pater Euwensweg, Willemstad",Willemstad,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,370273777,doctors,doctor,,,,,,
osm:node:2800617171,general_practitioner,,51.9712642,6.7128074,"Korenstraat 9, 7101EH, Winterswijk",Winterswijk,7101EH,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2800617171,doctors,doctor,,,,,,
osm:way:292955831,general_practitioner,,53.1081145,5.5949356,"van Sminealeane 45, 8731BD, Wommels",Wommels,8731BD,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,292955831,doctors,doctor,,,,,,
osm:node:2789520660,general_practitioner,,51.5583479,4.5168435,"Onze Lieve Vrouwestraat 134, 4735AG, Zegge",Zegge,4735AG,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2789520660,,doctor,general,,,,,
osm:node:501545569,general_practitioner,'t Joppe,52.1786389,4.5138933,"Zwartemeerlaan 44, 2317LV, Leiden",Leiden,2317LV,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,501545569,doctors,doctor,,,,https://huisartsenpraktijk-tjoppe.nl,,
osm:node:2771002518,general_practitioner,'t Ravelijn,51.2865061,4.0504518,"Wilhelminalaan 10, 4561HS, Hulst",Hulst,4561HS,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2771002518,doctors,doctor,general,A. de Visser;K. Vermeiren,+31 114 314 215,https://ravelijn.praktijkinfo.nl/,,
osm:node:1117361020,general_practitioner,A.G.M. van Doormalen & A.E.M. van Eijkeren-Reijth,51.7439512,5.2629444,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,1117361020,doctors,doctor,,,,,,
osm:node:11499805658,general_practitioner,A.N.M. van Grunsven & F.X.W.M. Hofman,52.3787478,4.8872051,"Prinsengracht 83, 1015DN, Amsterdam",Amsterdam,1015DN,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,11499805658,doctors,doctor,general,,,,,
osm:node:3814116501,general_practitioner,A.P.M.T. Bruijs huisarts,52.0707562,4.254514,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,3814116501,doctors,doctor,,,,,,
osm:node:5417148676,general_practitioner,ALVITAL. Praktijk voor natuurgeneeskunde.,52.2514996,5.0468814,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,5417148676,doctors,doctor,,,,,,
osm:way:367107495,general_practitioner,AZ Klina Zorgpunt Grens / Kind en Gezin,51.4709795,4.4642966,Nieuwstraat 115,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,way,367107495,doctors,doctor,,,,,,
osm:node:2797273773,general_practitioner,Aalsterveld psychologen,51.8822608,5.2886291,"Herman Kuijkstraat 19, 4191AH, Geldermalsen",Geldermalsen,4191AH,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2797273773,doctors,doctor,,,,,,
osm:node:2827712996,general_practitioner,Aarveld Medisch Centum,50.8776439,5.979479,"Ovidiusstraat 117, 6417VV, Heerlen",Heerlen,6417VV,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2827712996,doctors,doctor,,,,https://www.aarveldmedischcentrum.nl/,,
osm:node:10723376251,general_practitioner,Academische Huisartsenpraktijk Groningen,53.2230865,6.5721889,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,10723376251,doctors,doctor,,,,https://www.umcg.nl/academische-huisartsenpraktijk-groningen,,
osm:node:3814118517,general_practitioner,Akelei huisartsenzorg,52.0716602,4.2536133,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,3814118517,doctors,doctor,,,,,,
osm:node:2840757540,general_practitioner,Altrade,51.8401952,5.8628013,"Groesbeekseweg 9, 6524CK, Nijmegen",Nijmegen,6524CK,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2840757540,doctors,doctor,general,,+31 24 322 6102,https://www.praktijkaltrade.nl/,,
osm:node:2893646412,general_practitioner,Alviva,52.145104,4.6588196,"Henry Dunantweg 40, 2402NR, Alphen aan den Rijn",Alphen aan den Rijn,2402NR,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2893646412,doctors,doctor,general,,+31 172 438 635,https://www.alviva.nl,,
osm:node:2816003964,general_practitioner,Apotheekhoudend Huisarts Jahangir,51.551129,4.0751875,"Maartenshof 53, 4695HW, Sint-Maartensdijk",Sint-Maartensdijk,4695HW,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,2816003964,pharmacy,pharmacy,general,,+31 166 662 400,https://huisartspraktijkjahangir.uwartsonline.nl/,,
osm:node:955588850,general_practitioner,Apotheekhoudend huisartspraktijk,52.3319321,6.2160739,,,,OpenStreetMap via Overpass API,OSM tags: amenity=doctors OR healthcare=doctor OR healthcare:speciality/name suggests huisarts/general practitioner,,node,955588850,pharmacy,,,,,,,
